category,value
CATEGORY,plain paper print
CATEGORY,degital print
CATEGORY,backing
CATEGORY,felt
CATEGORY,raw material
COLOR,Red
COLOR,Blue
COLOR,Green
COLOR,Yellow
COLOR,Black
COLOR,White
COLOR,Brown
COLOR,Gray
COLOR,Multi-color
COLOR,NA
PATTERN,Persian Medallion
PATTERN,Geometric
PATTERN,Floral
PATTERN,Abstract
PATTERN,Traditional
PATTERN,Modern
PATTERN,Digital Art
PATTERN,Standard
PATTERN,RD-1009
MATERIAL_CATEGORY,Yarn
MATERIAL_CATEGORY,Dye
MATERIAL_CATEGORY,Chemical
MATERIAL_CATEGORY,Fabric
MATERIAL_CATEGORY,Thread
MATERIAL_CATEGORY,Fiber
MATERIAL_CATEGORY,Coating
MATERIAL_CATEGORY,Adhesive
MATERIAL_CATEGORY,Other
MATERIAL_UNIT,rolls
MATERIAL_UNIT,liters
MATERIAL_UNIT,kg
MATERIAL_UNIT,sqm
MATERIAL_UNIT,pieces
MATERIAL_UNIT,meters
MATERIAL_UNIT,tons
MATERIAL_UNIT,gallons
MATERIAL_UNIT,pounds
MATERIAL_UNIT,yards
QUALITY_RATING,A+
QUALITY_RATING,A
QUALITY_RATING,B
QUALITY_RATING,C
QUALITY_RATING,D
WEIGHT,400 GSM
WEIGHT,300 GSM
WEIGHT,500 GSM
WEIGHT,700 GSM
WEIGHT,800 GSM
WEIGHT,600 GSM
WEIGHT,2 kg
WEIGHT,5 kg
THICKNESS,5mm
THICKNESS,15 mm
THICKNESS,8mm
THICKNESS,20 mm
THICKNESS,25 mm
THICKNESS,10mm
THICKNESS,11mm
THICKNESS,1.5 cm
THICKNESS,12mm
THICKNESS,2 cm
THICKNESS,15mm
THICKNESS,3 mm
WIDTH,5 feet
WIDTH,6 feet
WIDTH,10 feet
WIDTH,15 feet
WIDTH,1.25 meter
WIDTH,1.5 m
WIDTH,1.83 meter
WIDTH,2 m
WIDTH,3.05 meter
HEIGHT,148 feet
HEIGHT,5 feet
HEIGHT,45 meter
HEIGHT,10 feet
HEIGHT,15 feet
HEIGHT,2.5 m
HEIGHT,3 m
